Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000053310,Nrgn,Gene Expression,0.8492117786364468,0.0,0.0,140512,42.18228612084515,2645
ENSMUSG00000070570,Slc17a7,Gene Expression,0.8230909810401732,0.0,0.0,49901,15.924389004127303,2435
ENSMUSG00000046447,Camk2n1,Gene Expression,0.8110220682169966,0.0,0.0,126438,44.02940379071426,2698
ENSMUSG00000021948,Prkcd,Gene Expression,0.8095126514249884,0.0,0.0,11674,4.552108500617034,1429
ENSMUSG00000061808,Ttr,Gene Expression,0.8089184171270253,0.0,0.0,348695,76.73662777497823,2674
ENSMUSG00000041607,Mbp,Gene Expression,0.7966843859782577,0.0,0.0,258821,112.88199901266533,2700
ENSMUSG00000035383,Pmch,Gene Expression,0.7847049386590649,0.0,0.0,67818,17.006873708112476,1720
ENSMUSG00000024985,Tcf7l2,Gene Expression,0.7770828468946588,0.0,0.0,6546,2.5639909809670396,1282
ENSMUSG00000032532,Cck,Gene Expression,0.760583556965886,0.0,0.0,67861,21.66319941254544,2585
ENSMUSG00000059213,Ddn,Gene Expression,0.7515569068385204,0.0,0.0,20213,7.305605149124104,2337
ENSMUSG00000032517,Mobp,Gene Expression,0.7439501958521232,0.0,0.0,64531,28.465027309133475,2595
ENSMUSG00000064179,Tnnt1,Gene Expression,0.7378521945934613,0.0,0.0,3254,1.3106602251548212,783
ENSMUSG00000031980,Agt,Gene Expression,0.7342232362209385,0.0,0.0,12689,4.5451856790167104,1872
ENSMUSG00000024661,Fth1,Gene Expression,0.7321614820177096,0.0,0.0,470990,179.49376734365623,2702
ENSMUSG00000018593,Sparc,Gene Expression,0.7284920747864044,0.0,0.0,41629,14.316534732286115,2659
ENSMUSG00000022421,Nptxr,Gene Expression,0.712448043448876,0.0,0.0,31003,9.536333619979187,2429
ENSMUSG00000045471,Hcrt,Gene Expression,0.7061732486809515,0.0,0.0,14371,3.51536119211466,876
ENSMUSG00000037126,Psd,Gene Expression,0.7055159123681066,0.0,0.0,25446,8.723505437159677,2517
ENSMUSG00000024617,Camk2a,Gene Expression,0.7001196383701617,0.0,0.0,49942,18.650665399797166,2683
ENSMUSG00000005583,Mef2c,Gene Expression,0.6968613017193472,0.0,0.0,19166,6.29408976023936,2319
ENSMUSG00000026833,Olfm1,Gene Expression,0.6929965354758985,0.0,0.0,90334,26.99364137730956,2684
ENSMUSG00000047507,Baiap3,Gene Expression,0.6899441061545325,0.0,0.0,3355,0.8581766549268477,755
ENSMUSG00000027296,Itpka,Gene Expression,0.687393611701039,0.0,0.0,11223,3.3900531274381387,1822
ENSMUSG00000031425,Plp1,Gene Expression,0.6819226133663209,0.0,0.0,233141,101.95177419703492,2681
ENSMUSG00000048644,Ctxn1,Gene Expression,0.6713660247514508,0.0,0.0,33900,9.770587194650178,2436
ENSMUSG00000090223,Pcp4,Gene Expression,0.6661015200054766,0.0,0.0,72360,23.86045821102065,2653
ENSMUSG00000007207,Stx1a,Gene Expression,0.6654733512469145,0.0,0.0,11591,3.6316271842110543,1980
ENSMUSG00000024907,Gal,Gene Expression,0.664491747341749,0.0,0.0,2700,0.6725722131590895,406
ENSMUSG00000018339,Gpx3,Gene Expression,0.6626422916798725,0.0,0.0,5058,1.3088561948019903,999
ENSMUSG00000027833,Shox2,Gene Expression,0.6611023336244259,0.0,0.0,1393,0.5519360907517759,515
ENSMUSG00000046093,Hpcal4,Gene Expression,0.6603236041434137,0.0,0.0,23624,7.687764734707403,2474
ENSMUSG00000032554,Trf,Gene Expression,0.6565393865698685,0.0,0.0,32528,13.66699809015239,2498
ENSMUSG00000050315,Synpo2,Gene Expression,0.6507307637366653,0.0,0.0,2120,0.8256278069599287,792
ENSMUSG00000067786,Nnat,Gene Expression,0.6488356337787055,0.0,0.0,36022,10.66030337921333,2502
ENSMUSG00000032368,Zic1,Gene Expression,0.6483088973747291,0.0,0.0,3429,1.246506788067165,1005
ENSMUSG00000030701,Plekhb1,Gene Expression,0.6445505824381145,0.0,0.0,25063,10.417838553636084,2579
ENSMUSG00000001175,Calm1,Gene Expression,0.6437188804118856,0.0,0.0,166406,54.39475818616555,2702
ENSMUSG00000069372,Ctxn3,Gene Expression,0.6395779854778647,0.0,0.0,2140,0.7090014188513201,528
ENSMUSG00000067879,Vxn,Gene Expression,0.637061541744038,0.0,0.0,10616,3.304093840246692,1869
